"","Cutoff","False Positive","False Negative","True Positive","True Negative","Overall Error","Expected Cost"
"1",0.05,0.0384615384615385,0.65625,0.961538461538462,0.34375,0.496688741721854,2904.666
"2",0.06,0.0448717948717949,0.636160714285714,0.955128205128205,0.363839285714286,0.483443708609272,2887.08528571429
"3",0.07,0.0448717948717949,0.609375,0.955128205128205,0.390625,0.463576158940397,2855.563
"4",0.08,0.0512820512820513,0.587053571428571,0.948717948717949,0.412946428571429,0.448675496688742,2835.35542857143
"5",0.09,0.0576923076923077,0.566964285714286,0.942307692307692,0.433035714285714,0.435430463576159,2817.77471428571
"6",0.1,0.0641025641025641,0.542410714285714,0.935897435897436,0.457589285714286,0.41887417218543,2794.94028571429
"7",0.11,0.0769230769230769,0.511160714285714,0.923076923076923,0.488839285714286,0.399006622516556,2770.28628571429
"8",0.12,0.0897435897435897,0.488839285714286,0.91025641025641,0.511160714285714,0.385761589403974,2756.13971428571
"9",0.13,0.0897435897435897,0.475446428571429,0.91025641025641,0.524553571428571,0.375827814569536,2740.37857142857
"10",0.14,0.0897435897435897,0.462053571428571,0.91025641025641,0.537946428571429,0.365894039735099,2724.61742857143
"11",0.15,0.102564102564103,0.441964285714286,0.897435897435897,0.558035714285714,0.354304635761589,2713.09771428571
"12",0.16,0.102564102564103,0.40625,0.897435897435897,0.59375,0.327814569536424,2671.068
"13",0.17,0.121794871794872,0.392857142857143,0.878205128205128,0.607142857142857,0.322847682119205,2673.48985714286
"14",0.18,0.134615384615385,0.386160714285714,0.865384615384615,0.613839285714286,0.321192052980132,2677.73128571429
"15",0.19,0.147435897435897,0.366071428571429,0.852564102564103,0.633928571428571,0.309602649006622,2666.21157142857
"16",0.2,0.166666666666667,0.352678571428571,0.833333333333333,0.647321428571429,0.304635761589404,2668.63342857143
"17",0.21,0.179487179487179,0.337053571428571,0.82051282051282,0.662946428571429,0.29635761589404,2662.36742857143
"18",0.22,0.179487179487179,0.321428571428571,0.82051282051282,0.678571428571429,0.28476821192053,2643.97942857143
"19",0.23,0.185897435897436,0.310267857142857,0.814102564102564,0.689732142857143,0.278145695364238,2636.90614285714
"20",0.24,0.192307692307692,0.296875,0.807692307692308,0.703125,0.269867549668874,2627.206
"21",0.25,0.205128205128205,0.285714285714286,0.794871794871795,0.714285714285714,0.264900662251656,2626.19371428571
"22",0.26,0.217948717948718,0.276785714285714,0.782051282051282,0.723214285714286,0.26158940397351,2627.80828571429
"23",0.27,0.217948717948718,0.267857142857143,0.782051282051282,0.732142857142857,0.254966887417219,2617.30085714286
"24",0.28,0.243589743589744,0.265625,0.756410256410256,0.734375,0.259933774834437,2638.918
"25",0.29,0.243589743589744,0.263392857142857,0.756410256410256,0.736607142857143,0.258278145695364,2636.29114285714
"26",0.3,0.243589743589744,0.256696428571429,0.756410256410256,0.743303571428571,0.253311258278146,2628.41057142857
"27",0.31,0.256410256410256,0.241071428571429,0.743589743589744,0.758928571428571,0.245033112582781,2622.14457142857
"28",0.32,0.275641025641026,0.232142857142857,0.724358974358974,0.767857142857143,0.243377483443709,2629.82014285714
"29",0.33,0.282051282051282,0.227678571428571,0.717948717948718,0.772321428571429,0.241721854304636,2630.62742857143
"30",0.34,0.294871794871795,0.223214285714286,0.705128205128205,0.776785714285714,0.241721854304636,2637.49571428571
"31",0.35,0.301282051282051,0.21875,0.698717948717949,0.78125,0.240066225165563,2638.303
"32",0.36,0.301282051282051,0.214285714285714,0.698717948717949,0.785714285714286,0.236754966887417,2633.04928571429
"33",0.37,0.301282051282051,0.203125,0.698717948717949,0.796875,0.228476821192053,2619.915
"34",0.38,0.314102564102564,0.194196428571429,0.685897435897436,0.805803571428571,0.225165562913907,2621.52957142857
"35",0.39,0.320512820512821,0.185267857142857,0.67948717948718,0.814732142857143,0.220198675496689,2617.08314285714
"36",0.4,0.326923076923077,0.183035714285714,0.673076923076923,0.816964285714286,0.220198675496689,2620.51728571429
"37",0.41,0.352564102564103,0.176339285714286,0.647435897435897,0.823660714285714,0.221854304635762,2636.88071428571
"38",0.42,0.352564102564103,0.167410714285714,0.647435897435897,0.832589285714286,0.21523178807947,2626.37328571429
"39",0.43,0.352564102564103,0.160714285714286,0.647435897435897,0.839285714285714,0.210264900662252,2618.49271428571
"40",0.44,0.391025641025641,0.151785714285714,0.608974358974359,0.848214285714286,0.213576158940397,2644.35128571429
"41",0.45,0.391025641025641,0.140625,0.608974358974359,0.859375,0.205298013245033,2631.217
"42",0.46,0.403846153846154,0.133928571428571,0.596153846153846,0.866071428571429,0.20364238410596,2635.45842857143
"43",0.47,0.403846153846154,0.131696428571429,0.596153846153846,0.868303571428571,0.201986754966887,2632.83157142857
"44",0.48,0.41025641025641,0.122767857142857,0.58974358974359,0.877232142857143,0.197019867549669,2628.38514285714
"45",0.49,0.429487179487179,0.118303571428571,0.57051282051282,0.881696428571429,0.198675496688742,2641.31442857143
"46",0.5,0.448717948717949,0.111607142857143,0.551282051282051,0.888392857142857,0.198675496688742,2651.61685714286
"47",0.51,0.461538461538462,0.109375,0.538461538461538,0.890625,0.200331125827815,2661.112
"48",0.52,0.474358974358974,0.107142857142857,0.525641025641026,0.892857142857143,0.201986754966887,2670.60714285714
"49",0.53,0.480769230769231,0.100446428571429,0.519230769230769,0.899553571428571,0.198675496688742,2668.78757142857
"50",0.54,0.487179487179487,0.0959821428571429,0.512820512820513,0.904017857142857,0.197019867549669,2669.59485714286
"51",0.55,0.493589743589744,0.0915178571428571,0.506410256410256,0.908482142857143,0.195364238410596,2670.40214285714
"52",0.56,0.519230769230769,0.0892857142857143,0.480769230769231,0.910714285714286,0.200331125827815,2692.01928571429
"53",0.57,0.544871794871795,0.0848214285714286,0.455128205128205,0.915178571428571,0.20364238410596,2711.00957142857
"54",0.58,0.576923076923077,0.0825892857142857,0.423076923076923,0.917410714285714,0.210264900662252,2738.68771428571
"55",0.59,0.583333333333333,0.0691964285714286,0.416666666666667,0.930803571428571,0.201986754966887,2728.98757142857
"56",0.6,0.596153846153846,0.0647321428571429,0.403846153846154,0.935267857142857,0.201986754966887,2735.85585714286
"57",0.61,0.596153846153846,0.0602678571428571,0.403846153846154,0.939732142857143,0.198675496688742,2730.60214285714
"58",0.62,0.621794871794872,0.0580357142857143,0.378205128205128,0.941964285714286,0.20364238410596,2752.21928571429
"59",0.63,0.621794871794872,0.0535714285714286,0.378205128205128,0.946428571428571,0.200331125827815,2746.96557142857
"60",0.64,0.641025641025641,0.0535714285714286,0.358974358974359,0.946428571428571,0.205298013245033,2765.14857142857
"61",0.65,0.647435897435897,0.0535714285714286,0.352564102564103,0.946428571428571,0.206953642384106,2771.20957142857
"62",0.66,0.647435897435897,0.046875,0.352564102564103,0.953125,0.201986754966887,2763.329
"63",0.67,0.653846153846154,0.0401785714285714,0.346153846153846,0.959821428571429,0.198675496688742,2761.50942857143
"64",0.68,0.698717948717949,0.0334821428571429,0.301282051282051,0.966517857142857,0.205298013245033,2796.05585714286
"65",0.69,0.717948717948718,0.03125,0.282051282051282,0.96875,0.208609271523179,2811.612
"66",0.7,0.724358974358974,0.0290178571428571,0.275641025641026,0.970982142857143,0.208609271523179,2815.04614285714
"67",0.71,0.737179487179487,0.0290178571428571,0.262820512820513,0.970982142857143,0.211920529801324,2827.16814285714
"68",0.72,0.756410256410256,0.0267857142857143,0.243589743589744,0.973214285714286,0.21523178807947,2842.72428571429
"69",0.73,0.782051282051282,0.0267857142857143,0.217948717948718,0.973214285714286,0.221854304635762,2866.96828571429
"70",0.74,0.788461538461538,0.0223214285714286,0.211538461538462,0.977678571428571,0.220198675496689,2867.77557142857
"71",0.75,0.788461538461538,0.0223214285714286,0.211538461538462,0.977678571428571,0.220198675496689,2867.77557142857
"72",0.76,0.794871794871795,0.0200892857142857,0.205128205128205,0.979910714285714,0.220198675496689,2871.20971428571
"73",0.77,0.801282051282051,0.0200892857142857,0.198717948717949,0.979910714285714,0.221854304635762,2877.27071428571
"74",0.78,0.814102564102564,0.0178571428571429,0.185897435897436,0.982142857142857,0.223509933774834,2886.76585714286
"75",0.79,0.82051282051282,0.015625,0.179487179487179,0.984375,0.223509933774834,2890.2
"76",0.8,0.865384615384615,0.015625,0.134615384615385,0.984375,0.235099337748344,2932.627
"77",0.81,0.871794871794872,0.0133928571428571,0.128205128205128,0.986607142857143,0.235099337748344,2936.06114285714
"78",0.82,0.871794871794872,0.0111607142857143,0.128205128205128,0.988839285714286,0.233443708609272,2933.43428571429
"79",0.83,0.891025641025641,0.0111607142857143,0.108974358974359,0.988839285714286,0.23841059602649,2951.61728571429
"80",0.84,0.903846153846154,0.00892857142857143,0.0961538461538462,0.991071428571429,0.240066225165563,2961.11242857143
"81",0.85,0.903846153846154,0.00892857142857143,0.0961538461538462,0.991071428571429,0.240066225165563,2961.11242857143
"82",0.86,0.91025641025641,0.00669642857142857,0.0897435897435897,0.993303571428571,0.240066225165563,2964.54657142857
"83",0.87,0.916666666666667,0.00669642857142857,0.0833333333333333,0.993303571428571,0.241721854304636,2970.60757142857
